id,word,category,level,part_of_speech,chinese_meaning,simple_definition,detailed_definition,example_sentence,creative_writing_example,synonyms,antonyms,common_collocations,word_family,difficulty_score,review_schedule
VAC0011,scarce,Academic Core Vocabulary,1,adjective,稀缺的；不足的,Hard to find because there is not enough of it.,Available only in small amounts; not plentiful enough to meet demand easily.,Fresh water can become scarce during a long drought.,Basic: There was not much left. / Improved: Clean water became scarce after months without rain.,limited|rare|insufficient,abundant|plentiful,scarce resources|become scarce|scarce supply,scarce|scarcely|scarcity,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0012,evidence,Academic Core Vocabulary,1,noun,证据,Facts or information that help prove something is true.,"Observable information, data, or examples used to support or challenge a claim.",The footprints were evidence that animals had visited the creek overnight.,Basic: We have proof. / Improved: We collected evidence from three reliable sources.,proof|data|support,,strong evidence|gather evidence|evidence suggests,evidence|evident|evidently|evidential,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0013,conclude,Academic Core Vocabulary,1,verb,得出结论；结束,To decide something is true after thinking about the information you have.,"To reach a judgement or ending based on evidence, reasoning, or the completion of a process.","From the graph, we can conclude that rainfall increased in spring.",Basic: So we think this is the answer. / Improved: We conclude that the hypothesis was supported by the data.,decide|infer|deduce,,conclude that|conclude the discussion|safely conclude,conclude|conclusion|conclusive|conclusively,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0014,compare,Academic Core Vocabulary,1,verb,比较,To look at two or more things to see how they are similar.,"To examine similarities (and often differences) between items, ideas, or results in an organised way.",Compare the two poems and note how each describes the ocean.,Basic: See if they are the same. / Improved: Compare the characters’ choices and explain what they reveal.,contrast|match|relate,,compare and contrast|compare results|compare with,compare|comparison|comparable|comparative,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0015,contrast,Academic Core Vocabulary,1,verb,对比；对照,To show how two things are different.,"To highlight differences between ideas, images, or situations so the distinctions become clear.",Contrast life in a coastal town with life in the outback.,Basic: They are not the same. / Improved: Contrast the two settings to show how place shapes the story.,differentiate|distinguish|oppose,compare,contrast with|in contrast|sharp contrast,contrast|contrasting|contrastive,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0016,summarise,Academic Core Vocabulary,1,verb,总结；概括,To say the main points of something in a shorter way.,"To condense a text, discussion, or set of findings into the most important ideas without unnecessary detail.",Summarise the chapter in five sentences using your own words.,Basic: Tell me what it was about. / Improved: Summarise the key arguments in a concise paragraph.,sum up|outline|recap,,summarise the text|summarise findings|briefly summarise,summarise|summary|summarised,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0017,identify,Academic Core Vocabulary,1,verb,识别；找出,To recognise or name what something is.,"To find, name, or point out a person, feature, problem, or pattern accurately.",Identify the main idea of each paragraph before you take notes.,Basic: Find the important part. / Improved: Identify the author’s purpose in the opening paragraph.,recognise|name|pinpoint,,identify the cause|identify features|identify a problem,identify|identification|identifiable|identity,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0018,organise,Academic Core Vocabulary,1,verb,组织；整理,To arrange things in a clear order so they work well.,"To structure information, materials, or events systematically so they are efficient and easy to understand.",Organise your notes under headings before you write the report.,Basic: Put your ideas in order. / Improved: Organise your arguments from strongest to weakest.,arrange|structure|order,disorganise,organise information|organise an event|well organised,organise|organisation|organised|organiser|organisational,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0019,investigate,Academic Core Vocabulary,1,verb,调查；探究,To try to find out the truth by looking carefully and asking questions.,"To examine a question, problem, or event in depth using research, tests, or careful observation.",We will investigate why some materials float and others sink.,Basic: We will find out about it. / Improved: We will investigate the question using a fair test.,examine|explore|research,,investigate a problem|investigate further|scientifically investigate,investigate|investigation|investigator|investigative,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0020,observe,Academic Core Vocabulary,1,verb,观察,To watch something carefully to notice details.,"To pay close attention to people, objects, or events in order to gather accurate information.",Observe the mealworms each day and record any changes in your journal.,Basic: Look at it. / Improved: Observe the reaction carefully and note the colour change.,watch|notice|monitor,,observe carefully|observe a change|direct observation,observe|observation|observer|observant|observable,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0021,predict,Academic Core Vocabulary,1,verb,预测,To say what you think will happen before it happens.,"To make a reasoned forecast about a future event or result based on patterns, evidence, or prior knowledge.",Predict what will happen if we increase the slope of the ramp.,Basic: Guess what will happen. / Improved: Predict the outcome using what you know about friction.,forecast|anticipate|foresee,,predict the outcome|predict that|accurate prediction,predict|prediction|predictable|predictably|unpredictable,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0022,contribute,Academic Core Vocabulary,1,verb,贡献；促成,"To give something—ideas, help, or effort—that adds to a result.","To play a part in producing an outcome by adding ideas, resources, actions, or influence.",Everyone should contribute one idea to our class inquiry board.,Basic: Help with the project. / Improved: Contribute evidence that strengthens the group’s argument.,add|provide|donate,,contribute to|contribute ideas|contribute significantly,contribute|contribution|contributor|contributing,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0023,establish,Academic Core Vocabulary,1,verb,建立；确立,To set something up so it becomes accepted or firm.,"To create, prove, or make permanent a fact, system, relationship, or organisation.",The school will establish a new garden club next term.,Basic: They started a club. / Improved: They established clear rules so the club ran fairly.,set up|create|found,,establish a link|establish rules|establish that,establish|establishment|established|establishing,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0024,factor,Academic Core Vocabulary,1,noun,因素,One of the things that affects a result or situation.,An element or circumstance that influences an outcome and may interact with other elements.,Weather is one factor that affects how quickly washing dries outside.,Basic: One thing that matters is… / Improved: A key factor in the experiment was the amount of sunlight.,element|influence|component,,key factor|factor in|contributing factor,factor|factors|factorise,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0025,method,Academic Core Vocabulary,1,noun,方法,A planned way of doing something.,"A systematic procedure or approach used to complete a task, investigate a question, or solve a problem.",Describe the method you used so another student could repeat your test.,Basic: This is how we did it. / Improved: Our method included three fair-test controls.,approach|procedure|technique,,scientific method|teaching method|method of,method|methods|methodical|methodology,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0026,process,Academic Core Vocabulary,1,noun,过程；流程,A series of steps that lead to a result.,A sequence of actions or natural changes that produce an outcome over time.,Photosynthesis is the process plants use to make food from sunlight.,Basic: Things happen in steps. / Improved: Understanding the process helps us explain each stage clearly.,procedure|sequence|operation,,process of|learning process|natural process,process|processes|processing|processor,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0027,strategy,Academic Core Vocabulary,1,noun,策略；方法,A careful plan for achieving a goal.,A deliberate set of actions designed to solve a problem or reach a desired outcome efficiently.,A good reading strategy is to pause and check that you understand each paragraph.,Basic: I have a plan. / Improved: Our strategy was to gather evidence before drafting the speech.,plan|approach|tactic,,learning strategy|strategy for|develop a strategy,strategy|strategies|strategic|strategically,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0028,structure,Academic Core Vocabulary,1,noun,结构,The way the parts of something are arranged.,"The organised framework of a text, object, system, or argument that holds the parts together.","The structure of your essay should include an introduction, body paragraphs, and a conclusion.",Basic: Put the parts in order. / Improved: Strengthen the structure by linking each paragraph to your thesis.,framework|organisation|arrangement,,text structure|structure of|organisational structure,structure|structures|structural|restructure,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0029,approach,Academic Core Vocabulary,1,noun,方法；途径,A way of dealing with a task or problem.,"A particular manner or philosophy used when tackling a challenge, investigation, or piece of writing.",A calm approach helps when you are solving a tricky maths problem.,Basic: This is how I’ll do it. / Improved: A step-by-step approach made the investigation manageable.,method|way|technique,,approach to|new approach|scientific approach,approach|approaches|approaching|approachable,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0030,benefit,Academic Core Vocabulary,1,noun,益处；好处,A helpful or good result that something provides.,"An advantage gained from an action, decision, or feature that improves a situation.",One benefit of riding to school is getting more exercise each morning.,Basic: It is good for you. / Improved: A major benefit of the programme is improved teamwork.,advantage|gain|plus,drawback|disadvantage,benefit of|benefit from|mutual benefit,benefit|benefits|beneficial|beneficially,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0031,context,Academic Core Vocabulary,1,noun,背景；语境,The situation or background that helps you understand something.,"The surrounding information, setting, or circumstances that give meaning to a word, event, or idea.",Always read the sentence around an unfamiliar word for context clues.,Basic: Look at what is around it. / Improved: Use context to work out the author’s intended meaning.,setting|background|situation,,in context|historical context|context clues,context|contexts|contextual|contextualise,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0032,relevant,Academic Core Vocabulary,1,adjective,相关的；切题的,Closely connected to the topic you are discussing.,Directly related to the matter at hand and therefore useful for understanding or solving it.,Include only relevant details in your summary so it stays focused.,Basic: That doesn’t belong here. / Improved: Remove details that are not relevant to the research question.,related|applicable|pertinent,irrelevant|unrelated,relevant information|relevant to|highly relevant,relevant|relevance|relevantly|irrelevant,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0033,accurate,Academic Core Vocabulary,1,adjective,准确的,Correct and careful; without mistakes.,"Free from error and faithful to the facts, measurements, or intended meaning.",An accurate measurement is essential when you mix ingredients for a science experiment.,Basic: Make sure it’s right. / Improved: Record accurate data so your conclusion can be trusted.,correct|precise|exact,inaccurate|wrong,accurate information|accurate measurement|highly accurate,accurate|accuracy|accurately|inaccurate,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0034,essential,Academic Core Vocabulary,1,adjective,必要的；必不可少的,Completely necessary; you cannot do without it.,"Absolutely needed for a purpose, process, or successful outcome; of central importance.",Water is essential for plants to survive in the Australian bush.,Basic: You really need this. / Improved: Clear evidence is essential to justify your claim.,necessary|vital|crucial,optional|unnecessary,essential for|essential skills|absolutely essential,essential|essentially|essence,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0035,specific,Academic Core Vocabulary,1,adjective,具体的；特定的,"Clear and exact, not general or vague.","Precisely identified or detailed, referring to a particular thing rather than a broad category.",Give a specific example from the text to support your answer.,Basic: Tell me more. / Improved: Provide a specific quotation that supports your inference.,particular|precise|exact,general|vague,specific example|specific details|be specific,specific|specifically|specify|specification,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0036,effective,Academic Core Vocabulary,1,adjective,有效的,Successful at producing the result you want.,"Capable of achieving an intended purpose well; producing a clear, desired impact.",An effective headline grabs attention and hints at the article’s main idea.,Basic: It worked well. / Improved: The campaign was effective because it used clear evidence and strong verbs.,successful|powerful|productive,ineffective|useless,effective strategy|highly effective|effective communication,effective|effectively|effectiveness|ineffective,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0037,require,Academic Core Vocabulary,1,verb,需要；要求,To need something or to make something necessary.,"To demand as necessary, or to have as a condition for success or correctness.",Scholarship exams require careful reading and clear written answers.,Basic: You need to practise. / Improved: Complex problems require a clear strategy before you begin.,need|demand|necessitate,,require attention|require evidence|required reading,require|requirement|required|requirements,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0038,indicate,Academic Core Vocabulary,1,verb,表明；显示,To show or point out that something is likely or true.,"To signal, suggest, or make clear a fact, direction, or meaning through evidence or signs.",The dark clouds indicate that a storm may arrive this afternoon.,Basic: This shows that… / Improved: The results indicate a clear pattern across all three trials.,show|suggest|signal,,indicate that|indicate a trend|clearly indicate,indicate|indication|indicative|indicator,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0039,obtain,Academic Core Vocabulary,1,verb,获得；取得,"To get something, especially through effort or a process.","To acquire information, permission, or materials by asking, researching, measuring, or working for them.",Students must obtain permission before photographing animals at the sanctuary.,Basic: We got the information. / Improved: We obtained reliable data from three independent sources.,get|acquire|gain,,obtain information|obtain permission|obtain results,obtain|obtainable|obtaining,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0040,assume,Academic Core Vocabulary,1,verb,假定；认为,To believe something is true without having complete proof.,"To accept an idea as true for the moment, often as a starting point, even if it has not been fully proven.",Do not assume the character is guilty until the story provides evidence.,Basic: I just thought that… / Improved: We cannot assume the result without testing it carefully.,suppose|presume|believe,,assume that|safe to assume|assume responsibility,assume|assumption|assumed|assuming,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0041,define,Academic Core Vocabulary,1,verb,定义；界定,To explain exactly what a word or idea means.,To state the precise meaning of a term or to set the boundaries of a concept clearly.,Define the word ‘habitat’ before you use it in your report.,Basic: Say what it means. / Improved: Define key terms in your introduction so readers share your meaning.,explain|clarify|describe,,define a term|clearly define|define as,define|definition|definite|definitely|definitive,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0042,select,Academic Core Vocabulary,1,verb,选择,To carefully choose the best option from several possibilities.,"To pick out a person, item, or idea according to a purpose, preference, or set of criteria.",Select the most relevant quotation to support your paragraph.,Basic: Pick one. / Improved: Select evidence that directly answers the research question.,choose|pick|nominate,,select carefully|select from|selected examples,select|selection|selective|selectively,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0043,respond,Academic Core Vocabulary,1,verb,回应；作出反应,To answer or react to something that has been said or done.,"To reply in words or actions to a question, event, or stimulus in an appropriate way.","Respond to the author’s argument by agreeing, disagreeing, or offering a new idea.",Basic: Answer the question. / Improved: Respond to the prompt with a justified opinion.,reply|react|answer,,respond to|respond appropriately|quick response,respond|response|responsive|respondent,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0044,consider,Academic Core Vocabulary,1,verb,考虑；认为,To think carefully about something before deciding.,"To reflect on ideas, options, or evidence thoughtfully as part of forming a judgement.",Consider both sides of the issue before writing your persuasive conclusion.,Basic: Think about it. / Improved: Consider the long-term consequences of your recommendation.,think about|weigh|contemplate,,consider carefully|consider the evidence|worth considering,consider|consideration|considerable|considerate,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0045,focus,Academic Core Vocabulary,1,verb,集中；聚焦,To give all your attention to one thing.,"To concentrate effort or attention on a particular subject, goal, or detail so it becomes clearer.","Focus on the main idea first, then add supporting details.",Basic: Pay attention. / Improved: Focus your paragraph on one clear claim.,concentrate|centre on|emphasise,,focus on|main focus|focus attention,focus|focused|focuses|focal,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0046,involve,Academic Core Vocabulary,1,verb,涉及；包括,To include someone or something as a necessary part.,"To contain as a component, or to engage people in an activity or process.","The science fair project will involve designing, testing, and presenting.",Basic: It has these parts. / Improved: The inquiry will involve collecting data from three sites.,include|entail|engage,,involve students|involve risk|actively involve,involve|involvement|involved|involving,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0047,occur,Academic Core Vocabulary,1,verb,发生；出现,"To happen, especially at a particular time or place.","To take place or come into existence as an event, change, or instance.","Flooding can occur when heavy rain falls on hard, dry ground.",Basic: It happened. / Improved: Errors can occur if measurements are rushed.,happen|take place|arise,,occur when|occur naturally|frequently occur,occur|occurrence|occurring|occurred,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0048,vary,Academic Core Vocabulary,1,verb,变化；不同,"To be different in different situations, or to change something.","To differ across cases, or to alter an element so that results or expressions are not all the same.",Results may vary depending on the type of soil used.,"Basic: It changes. / Improved: Opinions vary, so support your view with evidence.",differ|change|fluctuate,,vary depending on|vary widely|vary the method,vary|various|variety|variable|variation,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0049,maintain,Academic Core Vocabulary,1,verb,维持；保持,To keep something at the same level or in good condition.,"To continue, preserve, or uphold a state, system, argument, or standard over time.",Athletes must maintain a balanced diet during training season.,Basic: Keep it the same. / Improved: Maintain a formal tone throughout your report.,keep|preserve|sustain,neglect|abandon,maintain control|maintain a standard|maintain that,maintain|maintenance|maintained|maintainable,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0050,achieve,Academic Core Vocabulary,1,verb,实现；达到,To succeed in reaching a goal through effort.,"To accomplish a desired result by working with purpose, skill, or persistence.","With steady practice, you can achieve a higher score on reading comprehension.",Basic: I got my goal. / Improved: She achieved her target by revising a little each day.,accomplish|attain|reach,fail,achieve a goal|achieve success|hard to achieve,achieve|achievement|achievable|overachieve,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0051,affect,Academic Core Vocabulary,1,verb,影响,To cause a change in someone or something.,"To influence a person, process, or outcome so that it becomes different in some way.",Lack of sleep can affect concentration during afternoon lessons.,Basic: It changes things. / Improved: Drought can severely affect crop yields across the region.,influence|change|impact,,affect the result|negatively affect|directly affect,affect|affected|affecting|unaffected,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0052,emphasise,Academic Core Vocabulary,1,verb,强调,To give special importance to an idea so others notice it.,To stress a point deliberately in speech or writing so it stands out as especially important.,The principal emphasised the importance of kindness during assembly.,Basic: She said it was important. / Improved: The author emphasises justice through repeated images of balance.,stress|highlight|underline,,emphasise the need|strongly emphasise|emphasise that,emphasise|emphasis|emphatic|emphatically,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0053,illustrate,Academic Core Vocabulary,1,verb,说明；举例证明,"To make an idea clearer by using an example, picture, or story.","To explain or clarify a point by providing examples, diagrams, or vivid details.",Use a real-life example to illustrate how erosion shapes the coastline.,Basic: Give an example. / Improved: Illustrate your claim with a precise case study.,demonstrate|exemplify|show,,illustrate a point|illustrate with|clearly illustrate,illustrate|illustration|illustrative|illustrator,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0054,interpret,Academic Core Vocabulary,1,verb,解释；解读,"To explain the meaning of something you have read, seen, or heard.","To make sense of information, data, or a text by deciding what it means in context.",Interpret the graph by explaining what the rising line shows about temperature.,Basic: Say what it means. / Improved: Interpret the narrator’s silence as a sign of conflict.,explain|construe|decode,,interpret data|interpret a text|interpret findings,interpret|interpretation|interpreter|interpretive,4,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0055,outline,Academic Core Vocabulary,1,verb,概述；勾勒,To give the main points of a plan or text without all the details.,"To present the essential structure or overview of ideas in a clear, abbreviated form.",Outline your speech before you write the full script.,Basic: List the main bits. / Improved: Outline three reasons before expanding each paragraph.,summarise|sketch|overview,,outline a plan|brief outline|outline the steps,outline|outlines|outlined|outlining,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0056,recognise,Academic Core Vocabulary,1,verb,认出；承认,To know what something is because you have seen or learned it before; or to accept that it is true.,"To identify someone or something from prior knowledge, or to acknowledge a fact, quality, or achievement.",I recognise that symbol from our map key in geography.,Basic: I know what that is. / Improved: Recognise the author’s bias before you accept the claim.,identify|acknowledge|notice,,recognise a pattern|recognise that|widely recognised,recognise|recognition|recognisable|recognised,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0057,represent,Academic Core Vocabulary,1,verb,代表；表示,"To stand for something else, or to show it in a particular way.","To symbolise, depict, or act on behalf of a person, idea, or group in words, images, or actions.","On this graph, each bar represents one week of rainfall.",Basic: This stands for that. / Improved: The colour red may represent danger in the story.,stand for|depict|symbolise,,represent data|represent an idea|representative of,represent|representation|representative|representing,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0058,reveal,Academic Core Vocabulary,1,verb,揭示；显示,To make something known that was hidden or unclear.,"To uncover information, feelings, or truths that were previously secret, unknown, or not obvious.",The final chapter reveals why the character fled the town.,Basic: We found out the secret. / Improved: New evidence revealed a different cause for the decline.,show|uncover|disclose,conceal|hide,reveal that|reveal a secret|reveal the truth,reveal|revelation|revealing|revealed,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0059,transform,Academic Core Vocabulary,1,verb,转变；改造,To change something completely in form or character.,"To alter a person, place, or idea so thoroughly that it becomes markedly different.",Technology can transform the way we learn and share ideas.,Basic: It changed a lot. / Improved: The new parkland transformed the empty lot into a community space.,change|convert|reshape,,transform into|transform society|completely transform,transform|transformation|transformative|transformer,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0060,complex,Academic Core Vocabulary,1,adjective,复杂的,Made of many connected parts; not simple.,Complicated because it involves many interrelated elements that must be understood together.,"Climate is a complex system influenced by ocean, land, and atmosphere.",Basic: It’s hard and has lots of parts. / Improved: The novel explores a complex relationship between the rivals.,complicated|intricate|elaborate,simple|straightforward,complex problem|complex system|highly complex,complex|complexity|complexes,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0061,assess,Academic Core Vocabulary,2,verb,评定；评估,To judge the quality or importance of something using clear standards.,"To evaluate performance, evidence, or risk systematically against criteria in order to form a reasoned judgement.","Teachers assess writing using criteria such as structure, vocabulary, and clarity.",Basic: Give it a mark. / Improved: Assess each source for reliability before you cite it.,evaluate|appraise|judge,,assess risk|assess performance|formatively assess,assess|assessment|assessable|assessor,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0062,criteria,Academic Core Vocabulary,2,noun,标准（复数）,The rules or standards you use to judge something.,A set of principles or requirements used as a basis for making judgements or decisions. (Singular: criterion.),Our success criteria for the poster include clear headings and accurate facts.,Basic: These are the rules for marking. / Improved: Apply the criteria fairly to every group’s project.,standards|benchmarks|requirements,,success criteria|meet the criteria|assessment criteria,criterion|criteria,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0063,hypothesis,Academic Core Vocabulary,2,noun,假设；假说,An idea you suggest as a possible answer that you will test.,A testable statement that predicts a relationship or outcome and can be supported or challenged by evidence.,Our hypothesis is that plants given more light will grow taller in two weeks.,Basic: We guess this will happen. / Improved: Our hypothesis predicts a measurable difference between groups.,prediction|theory|proposition,,test a hypothesis|form a hypothesis|support the hypothesis,hypothesis|hypotheses|hypothesise|hypothetical,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0064,implication,Academic Core Vocabulary,2,noun,含义；可能的影响,"A possible result or meaning that follows from something, even if it is not stated directly.","A suggested consequence or significance that can be inferred from a fact, decision, or statement.",One implication of banning single-use plastics is less litter on beaches.,Basic: This might mean that… / Improved: Consider the wider implications of the policy for rural schools.,consequence|significance|ramification,,implications of|serious implications|practical implications,implication|implications|imply|implied,6,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0065,inference,Academic Core Vocabulary,2,noun,推断；推论,A smart guess based on clues and what you already know.,A conclusion reached by reasoning from evidence and prior knowledge rather than from a statement made directly.,"From the muddy footprints, our inference was that someone had crossed the oval after rain.",Basic: I guessed from the clues. / Improved: Make an inference supported by two details in the text.,conclusion|deduction|reading between the lines,,make an inference|logical inference|inference from,inference|infer|inferential|inferred,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0066,integrate,Academic Core Vocabulary,2,verb,整合；使结合,To combine parts so they work together as a whole.,"To bring ideas, systems, or groups into a unified structure where each element contributes effectively.",Integrate quotations smoothly into your own sentences instead of dropping them in alone.,Basic: Put the parts together. / Improved: Integrate science vocabulary into your explanation naturally.,combine|merge|incorporate,separate|isolate,integrate into|integrate ideas|fully integrate,integrate|integration|integrated|integrative,5,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0067,phenomenon,Academic Core Vocabulary,2,noun,现象,"Something that happens or appears, especially something interesting that we study.","An observable event, fact, or situation—often unusual or noteworthy—that can be investigated scientifically or socially.",Auroras are a natural phenomenon caused by activity in Earth’s atmosphere.,Basic: It’s a strange thing that happens. / Improved: The phenomenon of urban heat islands affects city temperatures.,event|occurrence|happening,,natural phenomenon|social phenomenon|explain a phenomenon,phenomenon|phenomena|phenomenal,6,Day 1|Day 3|Day 7|Day 14|Day 30
